time_s,magnetic_raw_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
1.855,-19197.0,65635,64395.10176512583,1.20214
1.859,-19200.0,65942,64671.17067872099,1.2053099999999999
1.864,-19201.0,66254,64953.86317161538,1.2084899999999998
1.868,-19203.0,66560,65241.767875006575,1.2116699999999998
1.872,-19204.0,66861,65532.76241767288,1.21484
1.877,-19206.0,67159,65825.44211559989,1.21802
1.881,-19208.0,67451,66118.58152651954,1.22119
1.886,-19210.0,67738,66410.99987421866,1.2243499999999998
1.89,-19212.0,68021,66701.94845172667,1.22766
1.894,-19212.0,68291,66990.03438523543,1.23067
1.899,-19215.0,68559,67274.33889230281,1.23383
1.903,-19216.0,68811,67553.8280359704,1.23699
1.908,-19218.0,69063,67827.87085579599,1.2401399999999998
1.912,-19220.0,69323,68098.3389174923,1.24329
1.917,-19222.0,69560,68364.45452719429,1.2467199999999998
1.921,-19224.0,69785,68623.61280913596,1.24985
1.925,-19225.0,70008,68875.80530882199,1.25284
1.93,-19228.0,70228,69121.91681541376,1.25596
1.934,-19227.0,70439,69361.96337577782,1.25909
1.938,-19230.0,70652,69596.4531733615,1.26208
1.943,-19233.0,70857,69825.89277025555,1.26534
1.947,-19235.0,71055,70049.79679665167,1.26831
1.952,-19235.0,71253,70268.56855271335,1.27141
1.956,-19239.0,71444,70482.53143421262,1.27453
1.96,-19240.0,71631,70691.54851098555,1.2776299999999998
1.965,-19241.0,71816,70896.00529823048,1.2806
1.969,-19242.0,72019,71098.39032033163,1.28371
1.974,-19244.0,72198,71298.51966950021,1.28709
1.978,-19245.0,72371,71493.86835866504,1.29016
1.982,-19246.0,72546,71684.98730985771,1.29325
1.987,-19248.0,72718,71872.6154824684,1.29633
1.991,-19250.0,72886,72056.75104949118,1.2993899999999998
1.996,-19253.0,73064,72238.68036720685,1.3024399999999998
2.0,-19255.0,73232,72418.84055174924,1.30579
2.005,-19256.0,73395,72596.0961673619,1.30884
2.009,-19258.0,73557,72770.42830663474,1.31202
2.014,-19260.0,73712,72941.62368185869,1.31507
2.018,-19261.0,73883,73111.19533726014,1.31811
2.023,-19262.0,74034,73279.06872181903,1.3214199999999998
2.027,-19266.0,74186,73443.69810737323,1.32431
2.032,-19267.0,74338,73605.82527879937,1.32736
2.036,-19269.0,74501,73767.03568561605,1.3304
2.041,-19270.0,74655,73927.70908940907,1.33357
2.045,-19275.0,74809,74087.0603160319,1.33676
2.05,-19276.0,74961,74245.15319727302,1.33981
2.054,-19276.0,75115,74402.23704451644,1.34287
2.058,-19277.0,75269,74558.70990034558,1.34592
2.063,-19280.0,75416,74713.99937601924,1.34913
2.067,-19281.0,75563,74867.64648809131,1.3521999999999998
2.072,-19283.0,75710,75019.97663207604,1.3552499999999998
2.076,-19286.0,75855,75171.0526077053,1.3581699999999999
2.08,-19286.0,76003,75321.22196196171,1.36125
2.085,-19289.0,76147,75470.56525725583,1.36431
2.089,-19291.0,76294,75619.14709446143,1.36737
2.093,-19292.0,76441,75767.41552802699,1.37045
2.098,-19294.0,76586,75915.23452511823,1.37352
2.102,-19295.0,76735,76062.89125730087,1.37642
2.107,-19298.0,76879,76210.31881035226,1.37961
2.111,-19300.0,77024,76357.16633798795,1.38253
2.115,-19303.0,77174,76504.14313759503,1.38558
2.12,-19303.0,77318,76651.12453381142,1.38862
2.124,-19304.0,77466,76797.91148957246,1.39167
2.128,-19308.0,77615,76945.03784454483,1.39472
2.133,-19310.0,77762,77092.33729162224,1.3977499999999998
2.137,-19312.0,77910,77239.67647351924,1.40077
2.141,-19312.0,78059,77387.24564407601,1.40367
2.146,-19316.0,78206,77534.90017330008,1.4066999999999998
