time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,posic_encoder_filtered,keyence_mm
0.728,3576.0,3576.0,3478.529999999999,-0.39242466901706247,-0.3750072903933673,0.34353999999999996
0.733,3579.0,3579.0,3485.279999999999,-0.39554322706366407,-0.37876706640653746,0.34743999999999997
0.738,3584.0,3584.0,3490.459999999999,-0.3990653632104141,-0.38243977997012024,0.35048999999999997
0.743,3590.0,3590.0,3496.779999999999,-0.40255081043896873,-0.3860790256581141,0.35426999999999986
0.748,3596.0,3596.0,3503.1699999999983,-0.40603625766752344,-0.38968779981790636,0.35805
0.754,3599.0,3599.0,3509.1100000000006,-0.40930157138690626,-0.39325033253740355,0.36168999999999984
0.759,3605.0,3605.0,3515.0200000000004,-0.41267695186087494,-0.3967648819021732,0.36534
0.764,3609.0,3609.0,3521.2400000000016,-0.4165292882713828,-0.4002991070124984,0.3692599999999999
0.771,3616.0,3616.0,3528.3899999999994,-0.4195928129406914,-0.40381821615766655,0.37388
0.776,3619.0,3619.0,3534.0800000000017,-0.422546270855414,-0.40723615844869776,0.37754
0.781,3623.0,3623.0,3539.4300000000003,-0.42496773945630467,-0.41050937359133804,0.3810499999999999
0.786,3629.0,3629.0,3544.1100000000006,-0.42757265264817185,-0.41363200790021526,0.38415999999999983
0.79,3633.0,3633.0,3549.09,-0.4301592213809414,-0.41665025075076817,0.38754
0.795,3638.0,3638.0,3554.0800000000017,-0.4325440010636367,-0.4195629777172339,0.39091999999999993
0.8,3640.0,3640.0,3558.720000000001,-0.435038847500918,-0.42238200797509345,0.3940199999999998
0.804,3644.0,3644.0,3563.529999999999,-0.43747866056090623,-0.42513135709294403,0.3973899999999999
0.809,3648.0,3648.0,3568.380000000001,-0.44012026267096876,-0.427839368824356,0.40076999999999985
0.814,3652.0,3652.0,3573.540000000001,-0.4425417312718593,-0.43051241593462786,0.4044399999999999
0.819,3655.0,3655.0,3578.1100000000006,-0.44507326662733593,-0.4331465222742499,0.40767
0.824,3659.0,3659.0,3582.9900000000016,-0.4471828794235663,-0.43571850960921893,0.4113399999999998
0.828,3663.0,3663.0,3587.1100000000006,-0.4492924922197969,-0.43819888836209797,0.41428
0.833,3668.0,3668.0,3591.25,-0.4513837605569297,-0.4406039913469505,0.41737
0.837,3671.0,3671.0,3595.41,-0.4536768179441367,-0.4429669052814235,0.42045999999999983
0.842,3675.0,3675.0,3600.25,-0.45622669775871094,-0.44534142043853286,0.4239799999999998
0.847,3677.0,3677.0,3604.9500000000007,-0.4584830662277226,-0.4477216037895031,0.42762999999999995
0.852,3683.0,3683.0,3609.3499999999985,-0.46077612361492964,-0.4500808906700122,0.4309999999999998
0.857,3686.0,3686.0,3613.84,-0.46301414762484366,-0.4524216039611795,0.4344999999999999
0.862,3689.0,3689.0,3618.220000000001,-0.4653072050120507,-0.45474742358056386,0.43784999999999985
0.867,3694.0,3694.0,3622.75,-0.4676919846947461,-0.4570758384403464,0.4413499999999999
0.872,3698.0,3698.0,3627.279999999999,-0.47002173100014843,-0.45940996887582486,0.44499
0.877,3699.0,3699.0,3631.7999999999993,-0.4721863771736718,-0.46172687535590595,0.44862
0.882,3704.0,3704.0,3635.7700000000004,-0.47429598996990235,-0.4640081632751814,0.45182999999999995
0.887,3706.0,3706.0,3639.6899999999987,-0.4765707028980116,-0.466271793171737,0.4551799999999999
