time_s,magnetic_raw_mm,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
0.688,-0.40380859375,-0.6351676713946208,-0.359375,-0.35478999999999994
0.693,-0.40771484375,-0.6382261612833595,-0.3615625,-0.3578699999999999
0.697,-0.4111328125,-0.6413393484577377,-0.36369140625,-0.36093
0.702,-0.4140625,-0.6444297450964331,-0.365859375,-0.36399000000000004
0.706,-0.41748046875,-0.6474700025566253,-0.36798828125000005,-0.3670500000000001
0.71,-0.4208984375,-0.6505284924453623,-0.3701171875,-0.3700000000000001
0.715,-0.423828125,-0.6535596336912803,-0.37222656249999997,-0.37307
0.719,-0.42724609375,-0.6565998911514725,-0.37435546875000003,-0.3761399999999999
0.723,-0.4287109375,-0.6596127999688424,-0.37650390625,-0.37921000000000005
0.728,-0.43212890625,-0.6626302668933501,-0.3786328125,-0.3824099999999999
0.732,-0.4365234375,-0.6656522919249959,-0.38070312500000003,-0.38531000000000004
0.736,-0.43896484375,-0.6686059453495883,-0.3828125,-0.3882300000000001
0.741,-0.44287109375,-0.6715915055241393,-0.38496093750000004,-0.39144
0.745,-0.44580078125,-0.6746773440556986,-0.38705078125000003,-0.3945000000000001
0.749,-0.44873046875,-0.6776218812660186,-0.3891796875,-0.39742999999999995
0.754,-0.45166015625,-0.6806028833334334,-0.3913671875,-0.4005000000000001
0.758,-0.4541015625,-0.6836659313293083,-0.39345703125000003,-0.40369999999999995
0.763,-0.45751953125,-0.6865967942182181,-0.39558593750000004,-0.4066000000000001
0.767,-0.46142578125,-0.6896005868213155,-0.39763671875,-0.40968000000000004
0.771,-0.46533203125,-0.6925952632101406,-0.39978515625,-0.41273000000000004
0.776,-0.46728515625,-0.695640078777469,-0.40193359375000004,-0.41578000000000004
0.78,-0.47119140625,-0.6986393132734285,-0.4040625,-0.4188400000000001
0.784,-0.47412109375,-0.7016522220908001,-0.40625,-0.42191
0.789,-0.47705078125,-0.7046332241582149,-0.40841796875,-0.42496
0.793,-0.47998046875,-0.7075686451542609,-0.410625,-0.42788000000000004
0.797,-0.48291015625,-0.7105314147931274,-0.41279296875000004,-0.43096
0.802,-0.486328125,-0.7134668357891751,-0.41501953125,-0.43401
0.806,-0.490234375,-0.7164250473209055,-0.417265625,-0.43706
0.811,-0.49365234375,-0.7194425142454133,-0.41955078125,-0.4401299999999999
0.815,-0.49609375,-0.7224280744199643,-0.42181640625000005,-0.44306
0.819,-0.4990234375,-0.7253817278445585,-0.42416015625000003,-0.4461299999999999
0.824,-0.50146484375,-0.7283536136976991,-0.42646484375000004,-0.44921999999999995
0.828,-0.5048828125,-0.7312753603723365,-0.42876953125000006,-0.45231
0.832,-0.50830078125,-0.7341652002970154,-0.43111328125000004,-0.45523
0.837,-0.51123046875,-0.7371142956144716,-0.43357421875,-0.45829999999999993
0.841,-0.515625,-0.740122646324707,-0.436015625,-0.46138999999999997
0.845,-0.5185546875,-0.7431173227135304,-0.4384765625,-0.4644600000000001
0.85,-0.521484375,-0.746089208566671,-0.44091796875,-0.4675499999999999
0.854,-0.52392578125,-0.7490063971341705,-0.44349609375,-0.47051
0.858,-0.52734375,-0.7519965154158594,-0.446015625,-0.47358999999999996
0.863,-0.5302734375,-0.7549319364119054,-0.44859375,-0.47663999999999995
0.867,-0.53369140625,-0.7578627993008151,-0.45115234375,-0.47973
0.871,-0.537109375,-0.7607754297611784,-0.453828125,-0.48265
0.876,-0.54052734375,-0.763738199400045,-0.45648437500000005,-0.4857100000000001
0.88,-0.54345703125,-0.76665082986041,-0.45921875,-0.48879000000000006
0.884,-0.54541015625,-0.7695725765350474,-0.46201171875,-0.49174000000000007
0.889,-0.548828125,-0.7724760907811365,-0.46482421875,-0.49480999999999997
0.893,-0.5517578125,-0.7753750469200895,-0.46773437500000004,-0.4978499999999999
0.897,-0.55517578125,-0.7783150260232734,-0.470703125,-0.50092
0.902,-0.55859375,-0.7812732375550038,-0.47369140625000006,-0.50397
0.906,-0.5615234375,-0.784258797729553,-0.47689453125000003,-0.50702
0.911,-0.56396484375,-0.7872124511541472,-0.480078125,-0.5100899999999999
0.915,-0.5673828125,-0.7901296397216484,-0.48328125,-0.5131600000000001
0.919,-0.57080078125,-0.7930149215391911,-0.48650390625000006,-0.51607
0.924,-0.5732421875,-0.7958819709281872,-0.48984375,-0.51912
0.928,-0.576171875,-0.7987444622100472,-0.49330078125,-0.5221899999999999
0.932,-0.5791015625,-0.8016434183489984,-0.4968554687500001,-0.5252300000000001
0.937,-0.5830078125,-0.8045606069164997,-0.5005078125,-0.52826
0.941,-0.58642578125,-0.8075051441268197,-0.504375,-0.5313300000000001
0.946,-0.59033203125,-0.8104815880870984,-0.50826171875,-0.5343899999999999
0.95,-0.59228515625,-0.8134170090831443,-0.5123046875,-0.53731
0.954,-0.59521484375,-0.8163433138649161,-0.51640625,-0.54037
0.959,-0.59814453125,-0.8192422700038708,-0.520546875,-0.5434300000000001
0.963,-0.60107421875,-0.8220728545357741,-0.52484375,-0.5464500000000001
0.967,-0.6044921875,-0.8249535782461805,-0.52931640625,-0.5495000000000001
0.972,-0.607421875,-0.8278525343851317,-0.53396484375,-0.55243
0.976,-0.6103515625,-0.8307104675598538,-0.53923828125,-0.5554699999999999
0.981,-0.61376953125,-0.8338646776984646,-0.54421875,-0.5588
0.985,-0.61669921875,-0.8367271689803228,-0.5494921875000001,-0.56186
0.989,-0.6201171875,-0.8396397994406861,-0.5546875,-0.5649200000000001
0.994,-0.623046875,-0.8424886164011358,-0.560078125,-0.5678099999999999
0.998,-0.6259765625,-0.8453784563258147,-0.5655078124999999,-0.5708899999999999
1.002,-0.62890625,-0.8482774124647694,-0.5708203125,-0.57395
1.007,-0.6318359375,-0.8511079969966708,-0.576171875,-0.57698
1.011,-0.6357421875,-0.8539932788142153,-0.581484375,-0.5799099999999999
1.016,-0.638671875,-0.8569970714173127,-0.58697265625,-0.5831200000000001
1.02,-0.6416015625,-0.8599324924133587,-0.59212890625,-0.58619
1.024,-0.64404296875,-0.8628132161237652,-0.59716796875,-0.5892599999999999
1.029,-0.64794921875,-0.865753195226949,-0.602265625,-0.5925100000000001
1.033,-0.6513671875,-0.8687068486515415,-0.6070703125,-0.59558
1.038,-0.65380859375,-0.8715784561476738,-0.6118945312499999,-0.59863
1.042,-0.6572265625,-0.8745138771437233,-0.6165234375,-0.60172
1.047,-0.66064453125,-0.8774128332826763,-0.62103515625,-0.6047899999999999
1.051,-0.6630859375,-0.8803026732073551,-0.6255078125,-0.6078399999999999
1.055,-0.66552734375,-0.8831514901678048,-0.62986328125,-0.61094
1.06,-0.66943359375,-0.8860230976639372,-0.6340820312500001,-0.61405
1.064,-0.67236328125,-0.8888855889457954,-0.6382226562500001,-0.6169800000000001
1.068,-0.67578125,-0.8917480802276554,-0.64224609375,-0.6200300000000001
1.073,-0.67822265625,-0.8946014552952413,-0.64634765625,-0.6231
1.077,-0.681640625,-0.8975551087198355,-0.650234375,-0.62615
1.082,-0.68505859375,-0.900394809466011,-0.65408203125,-0.6292200000000001
1.086,-0.6884765625,-0.9032846493906916,-0.657890625,-0.6323300000000001
1.09,-0.69091796875,-0.9061516987796878,-0.6616015625,-0.63531
1.095,-0.693359375,-0.908968608990179,-0.665234375,-0.63838
1.099,-0.697265625,-0.9118128678434907,-0.66884765625,-0.64148
1.103,-0.7001953125,-0.9146753591253525,-0.67240234375,-0.64446
1.108,-0.70361328125,-0.917551524728621,-0.67591796875,-0.64751
1.112,-0.70654296875,-0.9204322484390257,-0.67943359375,-0.6506000000000001
1.116,-0.70947265625,-0.9233357626851166,-0.68283203125,-0.6537200000000001
1.121,-0.7119140625,-0.9261936958598387,-0.6862304687499999,-0.65669
1.125,-0.71533203125,-0.9290653033559728,-0.6895312499999999,-0.6599299999999999
1.129,-0.7177734375,-0.9319186784235587,-0.6927929687500001,-0.66289
1.134,-0.720703125,-0.9347811697054169,-0.6961132812499999,-0.66598
1.138,-0.724609375,-0.937652777201551,-0.69927734375,-0.669
1.142,-0.72802734375,-0.9405152684834093,-0.702421875,-0.67208
1.147,-0.73095703125,-0.9433868759795416,-0.70556640625,-0.67517
1.151,-0.73388671875,-0.9462721577970861,-0.70869140625,-0.67822
1.156,-0.73681640625,-0.9491574396146287,-0.71177734375,-0.68127
1.16,-0.73974609375,-0.9520062565750766,-0.7147656250000001,-0.68435
1.164,-0.7421875,-0.9548550735355263,-0.7176953125,-0.6874
1.169,-0.7451171875,-0.9576674256388831,-0.72072265625,-0.6902699999999999
1.173,-0.74853515625,-0.9604934520636466,-0.723671875,-0.6933400000000001
1.177,-0.751953125,-0.9633149203812774,-0.72658203125,-0.69641
1.182,-0.7548828125,-0.9661591792345892,-0.7295703125,-0.69929
1.186,-0.75732421875,-0.9689806475522182,-0.7324804687500001,-0.7023299999999999
1.19,-0.759765625,-0.9717610929056164,-0.73537109375,-0.7054
1.195,-0.7626953125,-0.9745369801518784,-0.73830078125,-0.7082999999999999
1.199,-0.7666015625,-0.977335657933823,-0.741171875,-0.7113100000000001
1.203,-0.76953125,-0.9801616843585901,-0.7441015625,-0.7143900000000001
1.208,-0.7724609375,-0.9830150594261742,-0.74701171875,-0.7174400000000001
1.212,-0.77490234375,-0.9858228534223947,-0.7498828125,-0.72044
