time_s,magnetic_raw,magnetic_raw_mm,posic_encoder_mm,magnetic_raw_filtered,posic_encoder_filtered,keyence_mm,posic_lut_calibrated
13.609,-21532.0,1.99218362694126,108053,2.016062261924984,109525.94052324054,2.01838,2.019144253818886
13.614,-21524.0,1.988488410383057,107872,2.01302052482968,109341.08745366264,2.01531,2.01836032866795
13.618,-21518.0,1.9857169979644045,107698,2.0099561366205965,109157.10377275804,2.01212,2.0218059802406105
13.622,-21510.0,1.982021781406201,107525,2.0068717754475243,108974.35962771482,2.00905,2.0104782654532967
13.627,-21504.0,1.979250368987549,107355,2.003769802809764,108792.94493185442,2.00612,2.007262242906242
13.631,-21495.0,1.9750932503595704,107183,2.000624994546992,108612.76161542286,2.00303,2.008613050393999
13.636,-21486.0,1.970936131731592,107012,1.9973604959758315,108433.60496912849,1.99995,2.0103458465065476
13.64,-21481.0,1.9686266213827148,106841,1.994099684448296,108255.41272223566,1.99669,2.005823040676241
13.645,-21476.0,1.966317111033838,106669,1.990951349820492,108078.01173178152,1.99357,1.9981983712333322
13.649,-21469.0,1.9630837965454104,106494,1.987847580512774,107901.07197413358,1.99031,1.9910674113560638
13.654,-21461.0,1.959388579987207,106329,1.984701188008949,107724.95273730769,1.98704,1.9939247485102345
13.658,-21453.0,1.955693363429004,106157,1.9814899054056268,107549.73435938504,1.9839,1.9866982208525985
13.663,-21447.0,1.952921951010352,105987,1.9782760178668883,107375.01474051084,1.98062,1.9849022961115221
13.667,-21440.0,1.949688636521924,105820,1.9750871398349763,107201.03049699849,1.97735,1.9836320197018562
13.672,-21430.0,1.94506961582417,105656,1.9718110885230289,107028.04938627756,1.97403,1.9837836704006362
13.676,-21422.0,1.9413743992659669,105496,1.968430864397692,106856.36662493032,1.97086,1.9820454115431523
13.681,-21416.0,1.9386029868473145,105335,1.9650680101031408,106686.0060550772,1.96769,1.9778904763087881
13.685,-21409.0,1.935369672358887,105175,1.9617477783692348,106516.8113476781,1.96451,1.9888246573970947
13.689,-21403.0,1.9325982599402345,105017,1.9584651297262567,106348.8220094172,1.9613,1.9669943259269511
13.694,-21395.0,1.928903043382032,104862,1.955188314096924,106182.19111070895,1.95824,1.9834414405411207
13.698,-21389.0,1.926131630963379,104699,1.951916641816063,106016.46244974424,1.95504,1.956622011004987
13.703,-21381.0,1.922436414405176,104544,1.9486495047609225,105851.52935062854,1.95182,1.9566152794469687
13.707,-21374.0,1.919203099916748,104387,1.9453590602617807,105687.65245465448,1.94858,1.9573719661256828
13.711,-21366.0,1.915507883358545,104228,1.9420480640695004,105524.47041227044,1.94539,1.9581606638909292
13.716,-21359.0,1.9122745688701173,104067,1.9387189461093028,105361.66459801498,1.94216,1.948449576893036
13.72,-21353.0,1.9095031564514648,103906,1.9354284619011768,105199.0722938376,1.93892,1.940833583326559
13.725,-21344.0,1.9053460378234863,103746,1.932117430694896,105036.7273728155,1.93568,1.960542599311001
13.729,-21339.0,1.9030365274746093,103588,1.9288155883088085,104874.77793784434,1.93243,1.9464412536270383
13.733,-21331.0,1.8993413109164063,103430,1.925549154752883,104713.2954635069,1.92917,1.9577723429044052
13.738,-21323.0,1.8956460943582032,103274,1.9222320241266333,104552.34297360331,1.92593,1.9316465090220196
13.742,-21318.0,1.893336584009326,103115,1.918952109932485,104391.79868813534,1.92271,1.9340012121152639
13.746,-21308.0,1.8887175633115725,102953,1.9156503989967464,104231.25963875058,1.91947,1.9372569569349056
13.751,-21301.0,1.8854842488231445,102789,1.912274855556212,104070.4296193746,1.91609,1.9408597346749175
13.755,-21294.0,1.882250934334717,102620,1.9089161285266567,103908.92921100253,1.91285,1.9221009602253551
13.76,-21287.0,1.879017619846289,102453,1.9055722296231767,103746.66032474751,1.90933,1.913733964327299
13.765,-21282.0,1.876708109497412,102283,1.9022960185418047,103583.65470403698,1.90607,1.9220322930632348
13.769,-21273.0,1.8725509908694336,102120,1.8990248793303008,103420.23592610788,1.9027,1.9259873452165124
13.774,-21266.0,1.869317676381006,101955,1.8957035994206948,103256.74842750646,1.89946,1.9150427801071137
13.778,-21257.0,1.865160557753028,101786,1.8923381071881424,103092.84562902265,1.89622,1.9025950690478453
13.782,-21251.0,1.862389145334375,101617,1.8889609365158169,102928.34016396308,1.893,1.898580375905104
13.787,-21240.0,1.8573082225668456,101447,1.8855188553051725,102763.24417108932,1.88961,1.9202934957520827
13.791,-21235.0,1.8549987122179687,101280,1.882046844688632,102597.7457061312,1.88651,1.9130018538628826
13.796,-21230.0,1.852689201869092,101104,1.8787122820527908,102431.53765090842,1.88326,1.9147033594642497
13.8,-21222.0,1.8489939853108888,100928,1.8754169969191297,102264.17184710335,1.88001,1.902256480528601
13.804,-21215.0,1.845760670822461,100755,1.8721017324237583,102095.96253307456,1.87675,1.9084727456391315
13.809,-21208.0,1.8425273563340328,100574,1.8687961572706489,101926.71385409305,1.8735,1.9066334062373573
13.813,-21200.0,1.83883213977583,100394,1.865471819394168,101756.13487747876,1.87025,1.8927318573187666
13.817,-21194.0,1.8360607273571776,100211,1.862158243649303,101584.26465590455,1.86697,1.8974328051472318
13.822,-21185.0,1.8319036087292,100027,1.858826851129392,101411.01938986362,1.86385,1.8911078637995327
13.826,-21178.0,1.8286702942407715,99841,1.8554524419489395,101236.38430526412,1.86059,1.8861597445043707
