time_s,magnetic_raw_mm,magnetic_raw_filtered,magnetic_filtered_mm,posic_encoder_mm,keyence_mm
8.442,0.07257285700605465,0.06894513038433464,-0.204171292975043,0.28169921875000004,0.24302999999999986
8.446,0.0730321788858399,0.0697093805224483,-0.20335994990470763,0.2843945312500001,0.24631999999999987
8.452,0.07441014452519479,0.07050422010604473,-0.20242097983454244,0.2871289062500001,0.2501399999999998
8.457,0.0753287882847653,0.07136909044473239,-0.20152759083574612,0.28984375000000007,0.25368999999999975
8.463,0.0753287882847653,0.07215361094540729,-0.2006342018369498,0.2926171875000001,0.2573799999999997
8.468,0.07716607580390633,0.07296470479851255,-0.19973169662387757,0.29537109375000004,0.26105999999999985
8.473,0.07854404144326121,0.07393361277743309,-0.19880640087512447,0.29828125000000005,0.26461999999999986
8.479,0.07900336332304647,0.07489256208977756,-0.19780817541218365,0.30132812500000006,0.2685799999999998
8.484,0.08038132896240224,0.07584352580985726,-0.19685553102060904,0.30412109375000007,0.2722899999999997
8.49,0.0808406508421875,0.0767880860939616,-0.19594390959326535,0.30710937500000013,0.2759999999999998
8.495,0.08175929460175801,0.077682009746572,-0.195009497630239,0.31019531250000004,0.27971999999999975
8.501,0.08267793836132764,0.07858083110387407,-0.1940705275600738,0.3131445312500001,0.2835799999999997
8.506,0.0831372602411129,0.07943807791653948,-0.19319992909696104,0.31611328125000004,0.2871699999999997
8.511,0.08359658212089816,0.08021648531261658,-0.19236123738380417,0.3190820312500001,0.2907399999999998
8.516,0.08497454776025393,0.08102267722825686,-0.1915362199920576,0.3225390625000001,0.29418999999999973
8.522,0.08635251339960881,0.08194215258776669,-0.1905653431719374,0.32548828125000007,0.29820999999999986
8.527,0.08681183527939407,0.08286146318541146,-0.18973576767305378,0.32841796875000007,0.3015399999999997
8.531,0.08773047903896458,0.08373513977991007,-0.18895177324553902,0.33189453125000007,0.3047199999999999
8.537,0.08818980091874984,0.08457222366997832,-0.18801280317537472,0.33529296875000003,0.3087299999999997
8.542,0.08910844467832035,0.08537996483477131,-0.1871786695693558,0.3385351562500001,0.31218999999999975
8.547,0.09002708843789087,0.08620967872644798,-0.1863718846061566,0.34246093750000006,0.3156399999999997
8.553,0.0909457321974605,0.08705701196871736,-0.18541012400030876,0.3460546875000001,0.31962999999999986
8.558,0.09278301971660152,0.08800947747376382,-0.18452585121578569,0.3500000000000001,0.32321999999999984
8.564,0.09278301971660152,0.08895524199965317,-0.1835549743956637,0.35419921875000004,0.3272299999999999
8.569,0.09370166347617204,0.08980462941706395,-0.18264335296832002,0.35890625000000004,0.3310799999999998
8.576,0.09462030723574166,0.09066773834112012,-0.18162233696969476,0.3633007812500001,0.3353499999999998
8.581,0.09691691663466795,0.09167835583456943,-0.18066057636384691,0.3676367187500001,0.33921999999999985
8.587,0.09645759475488269,0.09267075090735269,-0.17974895493650322,0.3724414062500001,0.34292999999999974
8.592,0.0973762385144532,0.09351202824641204,-0.178814542973476,0.37675781250000007,0.34690999999999983
8.597,0.09829488227402283,0.0943686339123808,-0.17800319990314062,0.3813085937500001,0.3503599999999998
8.603,0.09921352603359335,0.09523753095971735,-0.17716906629711993,0.38605468750000005,0.3537999999999999
8.608,0.0996728479133786,0.09607078225688218,-0.17629846783400716,0.39117187500000006,0.3575099999999998
8.613,0.10059149167294912,0.09687545016643459,-0.1754278693708935,0.39585937500000007,0.3613599999999999
8.618,0.10196945731230489,0.0977482015806791,-0.17463020062196755,0.4004101562500001,0.36465999999999976
8.623,0.10334742295165977,0.0987210492479318,-0.17379150890881156,0.4052343750000001,0.3680699999999999
8.629,0.10334742295165977,0.09963765580756961,-0.1728753293743317,0.41058593750000005,0.37188999999999983
8.634,0.10426606671123029,0.10046366222030684,-0.17194091741130446,0.4150000000000001,0.3758499999999998
8.639,0.10564403235058606,0.10135352441787507,-0.17112501623383203,0.41978515625000007,0.3791399999999998
8.645,0.10656267611015569,0.10229459088636823,-0.17023162723503482,0.4241601562500001,0.3828299999999998
8.65,0.10656267611015569,0.10314021105537109,-0.16940660984328826,0.4285937500000001,0.38622999999999985
8.655,0.10794064174951146,0.10395479723726653,-0.16857703434440552,0.4328906250000001,0.3897999999999997
8.66,0.10931860738886723,0.10488100373765402,-0.16770643588129275,0.43742187500000007,0.3933399999999998
8.666,0.10977792926865249,0.10580571185976825,-0.1667765820254017,0.4417187500000001,0.3971499999999999
8.671,0.11069657302822211,0.10668371658688608,-0.16591965788369833,0.44572265625000007,0.40071999999999974
8.676,0.11161521678779263,0.10756977297738185,-0.16509464049195266,0.4498632812500001,0.40415999999999985
8.681,0.11207453866757788,0.10841678389958842,-0.16423315824311313,0.4539843750000001,0.40771999999999986
8.686,0.1129931824271484,0.10923248528982438,-0.16337623410140978,0.45830078125000007,0.4112999999999998
8.692,0.11391182618671891,0.11006858227649056,-0.16246917078120227,0.4623046875000001,0.4151499999999999
8.697,0.11483046994628854,0.11092103395440439,-0.16160313042522656,0.46667968750000005,0.4188599999999998
8.703,0.11574911370585905,0.1117866000281988,-0.16066871846219932,0.4707421875000001,0.4228299999999998
8.709,0.11620843558564431,0.1126171803054686,-0.15978444567767536,0.4747070312500001,0.4266699999999999
8.714,0.11758640122500008,0.11346520827951145,-0.15890928910742552,0.4786718750000001,0.4303999999999999
8.72,0.11850504498456971,0.11437272898670826,-0.15799766768008183,0.48259765625000006,0.43423999999999974
8.725,0.11942368874414022,0.1152824534637303,-0.1571088367884217,0.4864843750000001,0.4379599999999999
8.731,0.11988301062392548,0.1161484432007455,-0.1562245640038986,0.4903320312500001,0.4416699999999998
8.736,0.120801654383496,0.11697936320238633,-0.15535852364792113,0.49396484375000005,0.4454999999999998
8.741,0.12172029814306651,0.11782766359244883,-0.1545107157204919,0.4975195312500001,0.4490499999999997
8.746,0.12263894190263613,0.11868990085792319,-0.1537221631858392,0.5007617187500001,0.45245999999999986
8.751,0.12355758566220665,0.11956331373648142,-0.15296551740114417,0.5040429687500001,0.45562999999999976
8.756,0.1240169075419919,0.12040018615968737,-0.15219519729503883,0.5072070312500001,0.4589199999999998
8.76,0.12493555130156242,0.12120775775477671,-0.1514385515103438,0.5103125000000001,0.4621999999999997
8.765,0.12493555130156242,0.12194633190307906,-0.1507366030112891,0.513515625,0.46521999999999974
8.769,0.12585419506113293,0.1226295788172433,-0.15002553829796028,0.5166406250000001,0.4683799999999998
8.774,0.12723216070048782,0.12340496593535859,-0.1492916830489479,0.5199023437500001,0.4716499999999999
8.779,0.12769148258027307,0.1242087359697012,-0.14851224672856933,0.5230859375000001,0.4749399999999997
8.784,0.1286101263398436,0.12498976363158057,-0.14776927526528372,0.5262890625000001,0.4781099999999998
8.788,0.1295287700994141,0.12579805666931013,-0.14700351326631544,0.5293359375000001,0.48141999999999974
8.793,0.12998809197919936,0.12658271120840092,-0.14627421612444103,0.5324804687500001,0.4844499999999998
8.798,0.130906735738769,0.12734841065843017,-0.14552212844688128,0.5358984375000001,0.4877499999999999
8.803,0.13228470137812476,0.12818991429200385,-0.14469255294799854,0.5392187500000001,0.4911899999999998
8.808,0.13274402325791002,0.1290467014175797,-0.14386753555625376,0.5428710937500001,0.49463999999999975
8.813,0.1341219888972658,0.12991574397259287,-0.1429513560217721,0.5465429687500001,0.4983599999999997
8.818,0.13366266701748053,0.13070361006357967,-0.14208075755865934,0.5499804687500001,0.5022099999999998
8.823,0.13458131077705104,0.13138088100253537,-0.1413241117739643,0.5532226562500001,0.5055399999999999
8.828,0.13595927641640593,0.13215147614362882,-0.1405629078821331,0.5565039062500001,0.5088699999999997
8.833,0.13687792017597644,0.13299690550284005,-0.13975612291893302,0.5599414062500001,0.5123199999999999
8.838,0.13779656393554696,0.13385684056434144,-0.1389402217414606,0.5635742187500001,0.5157699999999998
8.843,0.1382558858153322,0.13468290548125986,-0.13808329759975635,0.56732421875,0.5194899999999998
8.849,0.13917452957490184,0.13548181082189095,-0.13724916399373832,0.5709375000000001,0.5232099999999997
8.854,0.1405524952142576,0.13634994138399092,-0.1364013560663082,0.5747460937500001,0.5266399999999998
8.859,0.14101181709404287,0.13722807994179442,-0.1354942927461007,0.5785156250000001,0.5303599999999997
8.864,0.14238978273339864,0.13811424364758998,-0.13466471724721796,0.5822070312500001,0.5339499999999997
8.869,0.14330842649296827,0.1390523443930051,-0.1338214674269258,0.5856250000000001,0.5373999999999999
8.874,0.142849104613183,0.1398500845418848,-0.133073937856504,0.58978515625,0.5405699999999998
8.88,0.14468639213232404,0.14062627699753025,-0.1321805488577077,0.5939453125,0.5445599999999997
8.885,0.14560503589189455,0.14152169658071156,-0.13126436932322605,0.5980273437500001,0.5482799999999999
8.89,0.14652367965146507,0.14242171748531302,-0.1303892127529771,0.6023437500000001,0.5519999999999998
8.896,0.1474423234110347,0.14332542806829252,-0.12945935889708604,0.6069921875000001,0.5558899999999998
8.902,0.14790164529081995,0.1441865954221722,-0.1285249469340588,0.6113867187500001,0.5599399999999999
8.907,0.14927961093017572,0.1450591503668205,-0.12760876739957716,0.6163671875000001,0.5638399999999999
8.913,0.1506575765695315,0.1460318404902821,-0.1266059838294984,0.6215234375,0.5679999999999998
8.919,0.15111689844931586,0.1469938226046549,-0.12561231647369553,0.6264453125,0.5721699999999998
8.925,0.15249486408867163,0.147947218248751,-0.12462776533216413,0.6312695312500001,0.5763299999999998
8.931,0.15341350784824215,0.1489392305135793,-0.12373437633336604,0.6361132812500001,0.5799399999999999
8.936,0.15433215160781266,0.1499167065438756,-0.1228273130131603,0.6410546875,0.5837299999999999
8.941,0.15479147348759792,0.15083702446585676,-0.12192480780008985,0.6457421875000001,0.5875199999999998
8.946,0.1552507953673823,0.1516660069222434,-0.12114537147971038,0.6504882812500001,0.5910199999999999
8.951,0.15708808288652332,0.15255825553077984,-0.12032947030223884,0.6558007812500001,0.5943699999999998
8.957,0.15708808288652332,0.1534557337143852,-0.11944519751771399,0.6603320312500001,0.5981699999999999
8.961,0.1584660485258791,0.15431190347146287,-0.11872045848297574,0.6651367187500001,0.6012399999999998
8.966,0.15892537040566346,0.1551804509749481,-0.11795469648400658,0.6700390625000001,0.6044299999999998
8.97,0.16030333604501923,0.15605892386705977,-0.11717981827076596,0.6748437500000001,0.6076699999999997
8.975,0.1607626579248045,0.15694535566672566,-0.11643684680748034,0.6796875000000001,0.6107699999999998
8.979,0.1607626579248045,0.1577016638497537,-0.11572122398701534,0.6848828125,0.6138699999999997
8.984,0.161681301684375,0.15839913121898075,-0.11499192684514004,0.6904687500000001,0.6170999999999998
8.988,0.16259994544394551,0.15914041946027926,-0.11421249052476146,0.69662109375,0.6204599999999998
8.993,0.1639779110833004,0.15996234838893367,-0.11336012449019517,0.7031054687500001,0.6240999999999999
8.999,0.1648965548428709,0.16084894095947863,-0.11247585170567032,0.7091796875,0.6277199999999998
9.004,0.16627452048222668,0.16178738560023356,-0.11161892756396874,0.71576171875,0.6310499999999999
9.009,0.16673384236201194,0.16272190716457,-0.11063893452957352,0.7226367187500001,0.6351099999999998
9.015,0.16811180800136682,0.16365328291731973,-0.10968629013799891,0.7285156250000001,0.6388799999999999
9.02,0.16857112988115208,0.16458213612666656,-0.10881113356774996,0.7347851562500001,0.6424999999999998
9.025,0.16903045176093734,0.16541796280504273,-0.1078812797118589,0.7410742187500001,0.6463999999999999
9.031,0.17086773928007837,0.1663156996148119,-0.10690128667746368,0.7467187500000001,0.6504299999999998
9.037,0.171786383039648,0.1673085824122412,-0.10596231660730115,0.7525976562500001,0.6541599999999999
9.042,0.17224570491943325,0.16824125461473804,-0.1049732073586318,0.7575976562500001,0.6581699999999997
9.048,0.17362367055878902,0.16917114741296904,-0.1041071670026561,0.7625390625,0.6616499999999998
9.053,0.17454231431835954,0.1701443133651199,-0.10318187125390121,0.7675781250000001,0.6653899999999997
9.058,0.17546095807792916,0.17110667703397808,-0.10222011064805336,0.77240234375,0.6692199999999997
9.064,0.17637960183749968,0.17206037863656004,-0.10124011761365992,0.776796875,0.6730499999999997
